ID_censo,Estacion,grupo,ppanual,Tmed,longitud,Cobertura_total,Altura_promedio_cm,Altura_maxima_cm,Riqueza_de_lenosas,Riqueza_de_cactaceas,Riqueza_total,Aspi_qbl,Buln_ret,Capp_ata,Geof_dec,Larr_cun,Larr_div,Mymo_car,Pros_fle,Pros_tor
E1_g1,Estación_01,Grupo_1,593,15.93,-64.681215,100,300,600,11,1,12,15,0,30,0,0,25,5,0,0
E1_g10,Estación_01,Grupo_10,593,15.93,-64.681215,85,400,800,6,0,6,30,0,0,0,0,10,0,0,0
E1_g11,Estación_01,Grupo_11,593,15.93,-64.681215,98,350,600,8,1,9,25,0,35,0,0,40,0,0,30
E1_g12,Estación_01,Grupo_12,593,15.93,-64.681215,90,250,600,10,3,13,15,0,0.1,0,0,10,0,0,30
E1_g2,Estación_01,Grupo_2,593,15.93,-64.681215,95,400,800,11,1,12,50,0,25,0,0,15,0,0,45
E1_g3,Estación_01,Grupo_3,593,15.93,-64.681215,95,300,850,11,2,13,45,0,0,0,0,10,0,0,10
E1_g4,Estación_01,Grupo_4,593,15.93,-64.681215,70,200,500,15,0,15,25,0,5,0,0,7,45,0,0
E1_g5,Estación_01,Grupo_5,593,15.93,-64.681215,70,430,900,12,1,13,60,0,0.1,30,0,0.1,0,0,0
E1_g6,Estación_01,Grupo_6,593,15.93,-64.681215,85,400,700,12,2,14,5,0,5,1,0,1,0,0,0
E1_g7,Estación_01,Grupo_7,593,15.93,-64.681215,90,200,450,8,2,10,0,0,25,0,0,0,0,0,0
E1_g8,Estación_01,Grupo_8,593,15.93,-64.681215,95,400,600,9,1,10,50,0,7,0,0,25,15,0,0
E1_g9,Estación_01,Grupo_9,593,15.93,-64.681215,95,300,450,7,0,7,10,0,0,0,0,40,0,0,30
E2_g1,Estación_02,Grupo_1,523,18.63,-65.127111,90,250,400,11,0,11,5,0,35,0,0,40,40,0,0
E2_g10,Estación_02,Grupo_10,523,18.63,-65.127111,95,300,500,10,0,10,15,0,30,0,40,2,0,0,0
E2_g11,Estación_02,Grupo_11,523,18.63,-65.127111,100,318,600,11,0,11,40,0,5,2,0,6,5,0,7
E2_g12,Estación_02,Grupo_12,523,18.63,-65.127111,80,300,1000,6,1,7,15,0,5,0,0,5,0,0,0
E2_g2,Estación_02,Grupo_2,523,18.63,-65.127111,100,400,1500,11,0,11,30,0,1,0,0,25,0,0,5
E2_g3,Estación_02,Grupo_3,523,18.63,-65.127111,90,150,530,8,0,8,10,0,0,0,0,20,0,0,0
E2_g4,Estación_02,Grupo_4,523,18.63,-65.127111,60,200,500,8,0,8,0,0,20,0,50,50,0,0,0
E2_g5,Estación_02,Grupo_5,523,18.63,-65.127111,65,225,800,11,1,12,2,0,15,0,10,25,0,0,0
E2_g6,Estación_02,Grupo_6,523,18.63,-65.127111,65,200,500,10,2,12,5,0,25,0,0,40,0,0,5
E2_g7,Estación_02,Grupo_7,523,18.63,-65.127111,98,300,500,8,0,8,60,0,15,0,0,40,0,0,0
E2_g8,Estación_02,Grupo_8,523,18.63,-65.127111,80,350,800,11,1,12,50,0,15,0,10,40,0,0,0
E2_g9,Estación_02,Grupo_9,523,18.63,-65.127111,80,250,750,13,0,13,25,0,30,5,80,25,0,0,5
E3_g1,Estación_03,Grupo_1,546,18.5583333770434,-65.129472,93,180,1200,7,0,7,80,0,0,0,0,0,0,50,20
E3_g10,Estación_03,Grupo_10,546,18.5583333770434,-65.129472,99,300,1000,10,1,11,50,0,35,0,0,30,0,30,10
E3_g2,Estación_03,Grupo_2,546,18.5583333770434,-65.129472,100,350,450,6,0,6,1,0,40,0,0,20,0,0,95
E3_g3,Estación_03,Grupo_3,546,18.5583333770434,-65.129472,100,300,600,7,0,7,1,0,20,0,0,1,0,90,15
E3_g4,Estación_03,Grupo_4,546,18.5583333770434,-65.129472,100,300,800,7,0,7,50,0,10,0,0,17,0,0,0
E3_g5,Estación_03,Grupo_5,546,18.5583333770434,-65.129472,95,200,520,6,0,6,15,0,0,10,0,20,15,0,0
E3_g6,Estación_03,Grupo_6,546,18.5583333770434,-65.129472,95,250,800,4,0,4,30,0,8,0,0,7,0,0,0
E3_g7,Estación_03,Grupo_7,546,18.5583333770434,-65.129472,100,300,800,6,0,6,65,0,1,0,0,0,0,0,30
E3_g8,Estación_03,Grupo_8,546,18.5583333770434,-65.129472,100,300,700,7,0,7,40,0,15,0,0,0,0,0,50
E3_g9,Estación_03,Grupo_9,546,18.5583333770434,-65.129472,95,350,900,10,1,11,95,0,25,5,0,25,30,0,0
E4_g1,Estación_04,Grupo_1,450,19.8416666984558,-66.08764,95,170,700,7,0,7,80,0,30,0,0,2,0,4,0
E4_g10,Estación_04,Grupo_10,450,19.8416666984558,-66.08764,100,200,800,5,0,5,95,0,10,0,0,3,10,0,15
E4_g2,Estación_04,Grupo_2,450,19.8416666984558,-66.08764,65,200,280,4,0,4,10,0,0,0,0,35,15,0,0
E4_g3,Estación_04,Grupo_3,450,19.8416666984558,-66.08764,80,150,300,4,0,4,0,0,0,0,0,30,40,30,0
E4_g4,Estación_04,Grupo_4,450,19.8416666984558,-66.08764,95,160,420,6,0,6,5,0,0,0,0,9,25,0,0
E4_g5,Estación_04,Grupo_5,450,19.8416666984558,-66.08764,95,170,550,6,0,6,0,0,0,0,0,60,0,0,0
E4_g6,Estación_04,Grupo_6,450,19.8416666984558,-66.08764,70,200,300,6,0,6,25,0,0,0,0,25,0,0,25
E4_g7,Estación_04,Grupo_7,450,19.8416666984558,-66.08764,90,200,350,7,0,7,10,0,0,0,0,60,20,20,0
E4_g8,Estación_04,Grupo_8,450,19.8416666984558,-66.08764,97,170,650,6,0,6,25,0,25,0,0,3,0.1,0,25
E4_g9,Estación_04,Grupo_9,450,19.8416666984558,-66.08764,75,160,350,5,0,5,0,0,0,0,0,30,50,30,0
E5_g1,Estación_05,Grupo_1,432,20.33,-66.094889,70,250,600,9,0,9,30,0,15,0,0,25,5,0,0
E5_g10,Estación_05,Grupo_10,432,20.33,-66.094889,90,400,800,7,0,7,60,0,15,0,0,25,0,0,65
E5_g11,Estación_05,Grupo_11,432,20.33,-66.094889,93,200,500,7,0,7,7,0,8,0,0,6,0,0,50
E5_g12,Estación_05,Grupo_12,432,20.33,-66.094889,80,300,1100,5,0,5,70,0,10,0,0,20,0,10,0
E5_g2,Estación_05,Grupo_2,432,20.33,-66.094889,90,500,1000,6,0,6,80,0,40,5,0,0.1,0,0,0
E5_g3,Estación_05,Grupo_3,432,20.33,-66.094889,95,550,1000,4,1,5,85,0,30,5,0,40,0,0,0
E5_g4,Estación_05,Grupo_4,432,20.33,-66.094889,100,200,700,6,0,6,75,0,35,0,55,55,0,0,0
E5_g5,Estación_05,Grupo_5,432,20.33,-66.094889,90,80,900,7,0,7,90,0,30,20,0,0,5,0,0
E5_g6,Estación_05,Grupo_6,432,20.33,-66.094889,70,200,400,7,0,7,10,0,5,0,0,15,40,0,1
E5_g7,Estación_05,Grupo_7,432,20.33,-66.094889,90,350,600,6,0,6,50,0,5,0,0,75,0,0,10
E5_g8,Estación_05,Grupo_8,432,20.33,-66.094889,85,250,600,6,0,6,50,0,15,0,0,7,0,0,0
E5_g9,Estación_05,Grupo_9,432,20.33,-66.094889,85,200,400,7,0,7,30,0,3,0,0,50,70,0,1
E6_g1,Estación_06,Grupo_1,329,20.42,-66.645667,75,150,350,8,1,9,1,5,10,0,0,0,8,0.5,0
E6_g10,Estación_06,Grupo_10,329,20.42,-66.645667,90,170,600,15,3,18,25,5,2,1,0,0,30,0.5,0
E6_g11,Estación_06,Grupo_11,329,20.42,-66.645667,70,150,400,7,1,8,15,0,2,10,0,0,10,0,0
E6_g12,Estación_06,Grupo_12,329,20.42,-66.645667,60,100,350,2,0,2,10,0,0.1,0,0,0,0,0,0
E6_g2,Estación_06,Grupo_2,329,20.42,-66.645667,50,100,500,7,1,8,5,0,10,0.1,0,0,1,0,0
E6_g3,Estación_06,Grupo_3,329,20.42,-66.645667,55,50,220,9,2,11,10,0,0,0,0,0,15,0.5,0
E6_g4,Estación_06,Grupo_4,329,20.42,-66.645667,75,350,700,9,1,10,40,6,6,0,0,0,65,0,0
E6_g5,Estación_06,Grupo_5,329,20.42,-66.645667,90,250,550,8,1,9,40,0,5,30,0,0,20,20,0
E6_g6,Estación_06,Grupo_6,329,20.42,-66.645667,80,130,350,10,0,10,10,0,4,5,0,0,7,0,0
E6_g7,Estación_06,Grupo_7,329,20.42,-66.645667,75,250,500,4,1,5,40,0,35,0,0,0,60,0,0
E6_g8,Estación_06,Grupo_8,329,20.4166666666667,-66.645667,86,200,320,5,1,6,2,0,25,1,0,0,60,0,0
E6_g9,Estación_06,Grupo_9,329,20.4166666666667,-66.645667,80,200,500,9,1,10,25,0,10,3,0,0,2,0,0
E7_g1,Estación_07,Grupo_1,321,18.1375000377496,-67.178134,95,150,500,6,1,7,0,0,0,7,40,0,60,12,0
E7_g10,Estación_07,Grupo_10,321,18.1375000377496,-67.178134,90,200,700,7,0,7,30,0,1,0,0,3,60,0,3
E7_g2,Estación_07,Grupo_2,321,18.1375000377496,-67.178134,90,400,650,8,1,9,2,0,0,0,0,10,40,2,0
E7_g3,Estación_07,Grupo_3,321,18.1375000377496,-67.178134,40,150,300,8,0,8,0,0,0,0,0,10,2,3,2
E7_g4,Estación_07,Grupo_4,321,18.1375000377496,-67.178134,100,200,600,4,0,4,0,0,0,0,0,10,0,97,0
E7_g5,Estación_07,Grupo_5,321,18.1375000377496,-67.178134,88,200,300,4,0,4,10,0,0,0,20,10,35,0,0
E7_g6,Estación_07,Grupo_6,321,18.1375000377496,-67.178134,100,150,350,5,1,6,0,0,0,0,10,15,60,10,0
E7_g7,Estación_07,Grupo_7,321,18.1375000377496,-67.178134,97,250,400,3,1,4,0,0,0,0,0,25,40,0,0
E7_g8,Estación_07,Grupo_8,321,18.1375000377496,-67.178134,70,160,600,7,1,8,0,0,0,2,10,1,20,0,0
E7_g9,Estación_07,Grupo_9,321,18.1375000377496,-67.178134,95,225,350,7,0,7,0,0,0,0,0,75,10,0,0
E8_g1,Estación_08,Grupo_1,288,19.09,-67.3852645321291,70,110,190,5,0,5,0,0,0,0.5,25,0,0,0,0
E8_g10,Estación_08,Grupo_10,288,19.09,-67.3852645321291,55,160,320,6,0,6,0,0,3,1,40,0,0,0,3
E8_g2,Estación_08,Grupo_2,288,19.09,-67.3852645321291,60,200,350,7,0,7,5,0,5,4,30,0,0,0,10
E8_g3,Estación_08,Grupo_3,288,19.09,-67.3852645321291,65,200,320,8,0,8,5,0,10,0,55,0,0,0.5,4
E8_g4,Estación_08,Grupo_4,288,19.09,-67.3852645321291,50,80,250,7,0,7,0,0,5,0.5,30,0,0,0.5,5
E8_g5,Estación_08,Grupo_5,288,19.09,-67.3852645321291,50,110,350,5,0,5,0,0,0,0.5,40,0,0,25,1
E8_g6,Estación_08,Grupo_6,288,19.09,-67.3852645321291,45,150,400,6,0,6,4,0.5,1,0,40,0,0,0,4
E8_g7,Estación_08,Grupo_7,288,19.09,-67.3852645321291,80,150,200,4,0,4,0,0,0.5,0,70,0,0,15,0
E8_g8,Estación_08,Grupo_8,288,19.09,-67.3852645321291,60,150,300,8,0,8,0,0,3,0.5,25,5,0,0,0
E8_g9,Estación_08,Grupo_9,288,19.09,-67.3852645321291,55,150,250,5,0,5,0,0,0,2,50,0,0,3,0.5
E9_g1,Estación_09,Grupo_1,241,17.2,-67.500372,45,120,200,6,0,6,0,0,0,0,25,0,0,0,20
