,E1_g1,E1_g10,E1_g11,E1_g12,E1_g2,E1_g3,E1_g4,E1_g5,E1_g6,E1_g7,E1_g8,E1_g9,E2_g1,E2_g10,E2_g11,E2_g12,E2_g2,E2_g3,E2_g4,E2_g5,E2_g6,E2_g7,E2_g8,E2_g9,E3_g1,E3_g10,E3_g2,E3_g3,E3_g4,E3_g5,E3_g6,E3_g7,E3_g8,E3_g9,E4_g1,E4_g10,E4_g2,E4_g3,E4_g4,E4_g5,E4_g6,E4_g7,E4_g8,E4_g9,E5_g1,E5_g10,E5_g11,E5_g12,E5_g2,E5_g3,E5_g4,E5_g5,E5_g6,E5_g7,E5_g8,E5_g9,E6_g1,E6_g10,E6_g11,E6_g12,E6_g2,E6_g3,E6_g4,E6_g5,E6_g6,E6_g7,E6_g8,E6_g9,E7_g1,E7_g10,E7_g2,E7_g3,E7_g4,E7_g5,E7_g6,E7_g7,E7_g8,E7_g9,E8_g1,E8_g10,E8_g2,E8_g3,E8_g4,E8_g5,E8_g6,E8_g7,E8_g8,E8_g9,E9_g1,E9_g10,E9_g11,E9_g12,E9_g2,E9_g3,E9_g4,E9_g5,E9_g6,E9_g7,E9_g8,E9_g9,E10_g1,E10_g10,E10_g11,E10_g12,E10_g2,E10_g3,E10_g4,E10_g5,E10_g6,E10_g7,E10_g8,E10_g9,E11_g1,E11_g10,E11_g11,E11_g12,E11_g2,E11_g3,E11_g4,E11_g5,E11_g6,E11_g7,E11_g8,E11_g9,E12_g1,E12_g10,E12_g2,E12_g3,E12_g4,E12_g5,E12_g6,E12_g7,E12_g8
Acac_aro,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Acac_gil,0,70,0,0,0,0,30,5,5,20,0,80,0,0,0,1,0,0,0,0.1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,14,0,0,0,0,15,20,0,60,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Acac_pra,25,0,0,10,10,40,0,35,40,40,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alo_ova,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aspi_qbl,15,30,25,15,50,45,25,60,5,0,50,10,5,15,40,15,30,10,0,2,5,60,50,25,80,50,1,1,50,15,30,65,40,95,80,95,10,0,5,0,25,10,25,0,30,60,7,70,80,85,75,90,10,50,50,30,1,25,15,10,5,10,40,40,10,40,2,25,0,30,2,0,0,10,0,0,0,0,0,0,5,5,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Atri_arg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,19,0,15,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Atri_lam,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,35,0,0
Atri_cor,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Boug_spi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,1,0.1,1,0,0,10,5,0,2,0,0,0,0,0,1,0,0,0,0,0,8,0,0.1,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,1,0,0,0,0,2
Buln_ret,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,15,25,1,8,0,5,0.1,0,50,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,3,0,0,0,0,0,4,0,2,0,0,0,0,0,0,0,0
